id,prefecture,first_name,second_name,latitude,longitude,altitude,date_terminated
gifu__ibigawa-kana__ibigawa,gifu,ibigawa-kana,ibigawa,35.485,136.566666667,45.0,
gifu__kabuyama-kana__kaburayama____2005-12-05,gifu,kabuyama-kana,kaburayama,35.735,136.798333333,1069.0,2005-12-05
gifu__kamiishiizu-kana__kamishitsu,gifu,kamiishiizu-kana,kamishitsu,35.2466666667,136.458333333,193.0,
gifu__kamioka-kana__kamioka,gifu,kamioka-kana,kamioka,36.3216666667,137.308333333,455.0,
gifu__kanayama-kana__kanayama,gifu,kanayama-kana,kanayama,35.6616666667,137.16,233.0,
gifu__kawai-kana__kawai,gifu,kawai-kana,kawai,36.305,137.1,471.0,
gifu__kiyomi-kana__kiyomi,gifu,kiyomi-kana,kiyomi,36.18,137.045,740.0,
gifu__kurokawa-kana__crocawa,gifu,kurokawa-kana,crocawa,35.5983333333,137.318333333,517.0,
gifu__mikawayama-kana__sanghaayama____1981-10-26,gifu,mikawayama-kana,sanghaayama,35.65,137.516666667,1117.0,1981-10-26
gifu__mikiyama-sana__mitsumorisan____2009-11-02,gifu,mikiyama-sana,mitsumorisan,35.3766666667,137.526666667,1130.0,2009-11-02
gifu__mino-kana__mino,gifu,mino-kana,mino,35.555,136.91,68.0,
gifu__minokamo-kana__minocamo,gifu,minokamo-kana,minocamo,35.445,137.005,74.0,
gifu__miyaji-kana__miyazi,gifu,miyaji-kana,miyazi,35.7633333333,137.288333333,450.0,
gifu__miyanenma-kana__miyanoomye,gifu,miyanenma-kana,miyanoomye,36.015,137.388333333,930.0,
gifu__morimori-kana__morimo____1990-10-11,gifu,morimori-kana,morimo,36.175,137.025,1262.0,1990-10-11
gifu__morningidake-kana__daiichi-dake____1979-10-24,gifu,morningidake-kana,daiichi-dake,36.0216666667,136.853333333,1280.0,1979-10-24
gifu__motherfucker-kana__miboro,gifu,motherfucker-kana,miboro,36.1466666667,136.908333333,640.0,
gifu__mt-mt-katakana__nagarejayama____1982-10-19,gifu,mt-mt-katakana,nagarejayama,36.3266666667,137.248333333,1280.0,1982-10-19
gifu__mt-nanba-mountain__gonggeyama____1981-10-30,gifu,mt-nanba-mountain,gonggeyama,35.5816666667,136.501666667,750.0,1981-10-30
gifu__mt-shirao__shiraosan____1976-11-01,gifu,mt-shirao,shiraosan,35.9033333333,136.948333333,1272.0,1976-11-01
gifu__nagataki-kana__nagataki,gifu,nagataki-kana,nagataki,35.9233333333,136.831666667,430.0,
gifu__nakatsugawa-kana__nakagatsugawa,gifu,nakatsugawa-kana,nakagatsugawa,35.4766666667,137.486666667,378.0,
gifu__niu-river-kana__nyukawa,gifu,niu-river-kana,nyukawa,36.1866666667,137.371666667,910.0,
gifu__norikura-mountain__norikuradake____2005-05-10,gifu,norikura-mountain,norikuradake,36.1216666667,137.556666667,2730.0,2005-05-10
gifu__ogaki-kana__tooth,gifu,ogaki-kana,tooth,35.3466666667,136.62,6.0,
gifu__ozu-kana__otsu____2009-11-02,gifu,ozu-kana,otsu,35.5616666667,136.54,573.0,2009-11-02
gifu__pattern-stone-pass-cana__galai-shishou____2009-11-02,gifu,pattern-stone-pass-cana,galai-shishou,35.4033333333,137.206666667,365.0,2009-11-02
gifu__rokka-kana__mumaya,gifu,rokka-kana,mumaya,36.06,137.035,1015.0,
gifu__seki-city-plate-katakana__sexy-paddy,gifu,seki-city-plate-katakana,sexy-paddy,35.7233333333,136.783333333,351.0,
gifu__sekigahara-kana__sekigahara,gifu,sekigahara-kana,sekigahara,35.3633333333,136.466666667,130.0,
gifu__shinborobayama-kana__arabuyama____1981-10-16,gifu,shinborobayama-kana,arabuyama,36.0316666667,136.975,1145.0,1981-10-16
gifu__shirakawa-kana__sirakawa,gifu,shirakawa-kana,sirakawa,36.2733333333,136.896666667,478.0,
gifu__shiratori-kana__shiro-tori____1978-11-01,gifu,shiratori-kana,shiro-tori,35.8683333333,136.863333333,372.0,1978-11-01
gifu__tajimi-kana__tajimi,gifu,tajimi-kana,tajimi,35.3466666667,137.108333333,120.0,
gifu__takayama-kana__takayama,gifu,takayama-kana,takayama,36.0,137.253333333,560.0,
gifu__tarumi-kana__talmi,gifu,tarumi-kana,talmi,35.6383333333,136.601666667,190.0,
gifu__tochio-kana__totio,gifu,tochio-kana,totio,36.2483333333,137.503333333,765.0,
gifu__twelve-mountains-kana__dugneidake____1990-10-16,gifu,twelve-mountains-kana,dugneidake,36.1883333333,137.368333333,1010.0,1990-10-16
gunma__akagiyama-mountain__akagiyama____2009-11-02,gunma,akagiyama-mountain,akagiyama,36.54,139.175,1660.0,2009-11-02
gunma__amamiyama-kana__amamiyama____2009-11-02,gunma,amamiyama-kana,amamiyama,36.6866666667,138.863333333,825.0,2009-11-02
gunma__fujioka-kana__fujiooka,gunma,fujioka-kana,fujiooka,36.2416666667,139.07,95.0,
gunma__fujiwara-kana__fujiwara,gunma,fujiwara-kana,fujiwara,36.8633333333,139.058333333,700.0,
gunma__haruna-mountain-kana__harnathan,gunma,haruna-mountain-kana,harnathan,36.4716666667,138.873333333,1088.0,
gunma__inaruyama-kana__inafukumiyama____2009-11-02,gunma,inaruyama-kana,inafukumiyama,36.17,138.863333333,780.0,2009-11-02
gunma__isezaki-kana__iseaki,gunma,isezaki-kana,iseaki,36.3316666667,139.165,64.0,
gunma__kamisato-katakana__kamisatomi,gunma,kamisato-katakana,kamisatomi,36.3766666667,138.895,183.0,
gunma__katana-kana__katashina,gunma,katana-kana,katashina,36.7716666667,139.238333333,860.0,
gunma__kiryu-kana__kiryu,gunma,kiryu-kana,kiryu,36.41,139.325,117.0,
gunma__kurobeke-kana__kuohone,gunma,kurobeke-kana,kuohone,36.5016666667,139.283333333,285.0,
gunma__kusatsu-kana__kasatsu,gunma,kusatsu-kana,kasatsu,36.6166666667,138.591666667,1223.0,
gunma__maebashi-kana__maevasi,gunma,maebashi-kana,maevasi,36.405,139.06,112.1,
gunma__maehata-kana__mae-jhotaka____1981-07-29,gunma,maehata-kana,mae-jhotaka,36.7683333333,139.163333333,1530.0,1981-07-29
gunma__minakami-kana__minakami,gunma,minakami-kana,minakami,36.8,138.991666667,531.0,
gunma__nakanojo-kana__nakanojo,gunma,nakanojo-kana,nakanojo,36.5866666667,138.85,354.0,
gunma__nishinomaki-kana__nishinomaki,gunma,nishinomaki-kana,nishinomaki,36.245,138.706666667,375.0,
gunma__nogori-lake-kana__nozorico____2009-11-02,gunma,nogori-lake-kana,nozorico,36.69,138.65,1570.0,2009-11-02
gunma__numata-kana__numata,gunma,numata-kana,numata,36.6683333333,139.021666667,390.0,
gunma__one-character-mountain-kana__ichinogiyama____2009-11-02,gunma,one-character-mountain-kana,ichinogiyama,36.3716666667,138.658333333,1170.0,2009-11-02
gunma__shinto-kana__kanna,gunma,shinto-kana,kanna,36.1083333333,138.896666667,357.0,
gunma__takayama-kana__takatayama____2009-11-02,gunma,takayama-kana,takatayama,36.75,139.098333333,1115.0,2009-11-02
gunma__tashiro-kana__tasillo,gunma,tashiro-kana,tasillo,36.4633333333,138.463333333,1230.0,
gunma__tatebayashi-kana__tatebayashi,gunma,tatebayashi-kana,tatebayashi,36.2333333333,139.531666667,21.0,
hiroshima__addendum-kana__chama,hiroshima,addendum-kana,chama,34.61,132.32,210.0,
hiroshima__asaki-kana__asuka,hiroshima,asaki-kana,asuka,34.5666666667,132.838333333,363.0,
hiroshima__dogo-mountain-kana__dogoyama,hiroshima,dogo-mountain-kana,dogoyama,35.0566666667,133.188333333,729.0,
hiroshima__dongcheng-kaun__doujou,hiroshima,dongcheng-kaun,doujou,34.895,133.276666667,310.0,
hiroshima__fuchu-kana__fuku,hiroshima,fuchu-kana,fuku,34.5616666667,133.231666667,70.0,
hiroshima__fukuyama-kana__fukuyama,hiroshima,fukuyama-kana,fukuyama,34.4466666667,133.246666667,1.6,
hiroshima__hatsukaichi-tsuda-kana__hatsukaichita,hiroshima,hatsukaichi-tsuda-kana,hatsukaichita,34.365,132.19,317.0,
hiroshima__higashi-hiroshima-kana__hiroshi-hiroshima,hiroshima,higashi-hiroshima-kana,hiroshi-hiroshima,34.4166666667,132.7,224.0,
hiroshima__hiroshima-kana__hiroshima,hiroshima,hiroshima-kana,hiroshima,34.3983333333,132.461666667,3.6,
hiroshima__hongo-kana__hong,hiroshima,hongo-kana,hong,34.435,132.918333333,331.0,
hiroshima__ikuchijima-kana__ikkijima,hiroshima,ikuchijima-kana,ikkijima,34.2783333333,133.123333333,3.0,
hiroshima__inner-kuroyama-kana__uchiroyama,hiroshima,inner-kuroyama-kana,uchiroyama,34.5966666667,132.176666667,987.0,
hiroshima__inuyashinyama-kana__inu-bushiyama____2005-12-08,hiroshima,inuyashinyama-kana,inu-bushiyama,34.805,132.615,786.0,2005-12-08
hiroshima__kaikanyama-kana__kaikenan____2005-12-06,hiroshima,kaikanyama-kana,kaikenan,34.6066666667,132.478333333,805.0,2005-12-06
hiroshima__kawachi-kana__couch____2010-01-28,hiroshima,kawachi-kana,couch,34.4683333333,132.893333333,90.0,2010-01-28
hiroshima__kimita-kana__kimita,hiroshima,kimita-kana,kimita,34.9283333333,132.83,304.0,
hiroshima__king-owner__oodomary,hiroshima,king-owner,oodomary,34.6983333333,132.311666667,525.0,
hiroshima__koda-kana__koda,hiroshima,koda-kana,koda,34.695,132.76,185.0,
hiroshima__kuni-kuna__NONE____2009-02-24,hiroshima,kuni-kuna,NONE,34.1816666667,132.83,4.0,2009-02-24
hiroshima__kurahashi-kana__kurashi,hiroshima,kurahashi-kana,kurashi,34.0916666667,132.488333333,3.0,
hiroshima__kure-city-momochi-kana__kureha-nagari,hiroshima,kure-city-momochi-kana,kureha-nagari,34.165,132.748333333,48.0,
hiroshima__kure-ka__clay,hiroshima,kure-ka,clay,34.24,132.55,3.5,
hiroshima__megui-taniyama-kana__egetaniyama____2005-12-02,hiroshima,megui-taniyama-kana,egetaniyama,34.485,132.33,790.0,2005-12-02
hiroshima__miki-kana__mili,hiroshima,miki-kana,mili,34.545,132.53,70.0,
hiroshima__miki-kana__miyoshi,hiroshima,miki-kana,miyoshi,34.8116666667,132.85,159.0,
hiroshima__miri-lisa-kana__midori,hiroshima,miri-lisa-kana,midori,34.7216666667,132.655,318.0,
hiroshima__morning-kana__oohasa,hiroshima,morning-kana,oohasa,34.7683333333,132.463333333,399.0,
hiroshima__oil-trees-kana__yuki,hiroshima,oil-trees-kana,yuki,34.7633333333,133.278333333,510.0,
hiroshima__otake-kana__otake,hiroshima,otake-kana,otake,34.2216666667,132.22,1.0,
hiroshima__saeki-yuko-kana__saekiyuki,hiroshima,saeki-yuko-kana,saekiyuki,34.4983333333,132.29,206.0,
hiroshima__sera-kana__cela,hiroshima,sera-kana,cela,34.5833333333,133.05,350.0,
hiroshima__shiwa-kana__wrinkle,hiroshima,shiwa-kana,wrinkle,34.4983333333,132.66,215.0,
hiroshima__shobara-kana__cowbara,hiroshima,shobara-kana,cowbara,34.86,133.023333333,300.0,
hiroshima__takano-kana__takano,hiroshima,takano-kana,takano,35.0333333333,132.901666667,570.0,
hiroshima__takehara-kana__takehara,hiroshima,takehara-kana,takehara,34.33,132.981666667,5.0,
hiroshima__tokonomi-kana__tsushimi,hiroshima,tokonomi-kana,tsushimi,34.6466666667,132.443333333,400.0,
hiroshima__upper-and-lower-kana__jawe,hiroshima,upper-and-lower-kana,jawe,34.6933333333,133.116666667,384.0,
hiroshima__yasuda-yama-kana__andayama____2005-12-05,hiroshima,yasuda-yama-kana,andayama,34.9216666667,132.815,638.0,2005-12-05
hiroshima__yawata-kana__yawata,hiroshima,yawata-kana,yawata,34.7083333333,132.173333333,774.0,
hokkaido_okhotsk__abashiri-kana__abashiri,hokkaido_okhotsk,abashiri-kana,abashiri,44.0166666667,144.278333333,37.6,
hokkaido_okhotsk__bihoro-kana__bikhoro,hokkaido_okhotsk,bihoro-kana,bikhoro,43.77,144.171666667,60.0,
hokkaido_okhotsk__chimi-kep-mountain-kana__chimi-kup-yama____2005-11-04,hokkaido_okhotsk,chimi-kep-mountain-kana,chimi-kup-yama,43.645,143.89,600.0,2005-11-04
hokkaido_okhotsk__eastern-kitchen-kana__higashimokoto,hokkaido_okhotsk,eastern-kitchen-kana,higashimokoto,43.84,144.285,58.0,
hokkaido_okhotsk__ikutahara-kana__ikutahara,hokkaido_okhotsk,ikutahara-kana,ikutahara,43.9166666667,143.531666667,199.0,
hokkaido_okhotsk__inchiyama-kana__nikoloyama,hokkaido_okhotsk,inchiyama-kana,nikoloyama,43.86,143.746666667,261.0,
hokkaido_okhotsk__kamen-alba-kana__camomovet,hokkaido_okhotsk,kamen-alba-kana,camomovet,44.1883333333,143.336666667,85.0,
hokkaido_okhotsk__kanabe-kana__rubeshibe,hokkaido_okhotsk,kanabe-kana,rubeshibe,43.7416666667,143.45,325.0,
hokkaido_okhotsk__kanaka-kana__angar,hokkaido_okhotsk,kanaka-kana,angar,44.0533333333,143.54,80.0,
hokkaido_okhotsk__kitami-kana__kitami,hokkaido_okhotsk,kitami-kana,kitami,43.7766666667,143.841666667,104.0,
hokkaido_okhotsk__kitami-nakayama-kana__kitami-nakayama____2005-11-08,hokkaido_okhotsk,kitami-nakayama-kana,kitami-nakayama,43.5983333333,143.46,905.0,2005-11-08
hokkaido_okhotsk__koko-kana__okappe,hokkaido_okhotsk,koko-kana,okappe,44.47,143.108333333,8.0,
hokkaido_okhotsk__koshimizu-kana__koshimizu,hokkaido_okhotsk,koshimizu-kana,koshimizu,43.8416666667,144.485,52.0,
hokkaido_okhotsk__maruasef-kana__marsepp,hokkaido_okhotsk,maruasef-kana,marsepp,43.9516666667,143.328333333,242.0,
hokkaido_okhotsk__masumitsu-katakana__meanbetsu,hokkaido_okhotsk,masumitsu-katakana,meanbetsu,43.88,144.163333333,33.0,
hokkaido_okhotsk__monbetsu-kana__monbets,hokkaido_okhotsk,monbetsu-kana,monbets,44.345,143.355,15.8,
hokkaido_okhotsk__monbetsu-komuka-kana__mombeskomukai,hokkaido_okhotsk,monbetsu-komuka-kana,mombeskomukai,44.3033333333,143.403333333,18.0,
hokkaido_okhotsk__mt-mt-konoyama__mokotoyama____2010-03-18,hokkaido_okhotsk,mt-mt-konoyama,mokotoyama,43.7266666667,144.296666667,518.0,2010-03-18
hokkaido_okhotsk__nishikoku-kana__nishiokoppe,hokkaido_okhotsk,nishikoku-kana,nishiokoppe,44.3316666667,142.935,120.0,
hokkaido_okhotsk__noda-hitomi-kana__oketotsuneemo,hokkaido_okhotsk,noda-hitomi-kana,oketotsuneemo,43.62,143.44,368.0,
hokkaido_okhotsk__otake-katakana__parrot,hokkaido_okhotsk,otake-katakana,parrot,44.58,142.963333333,14.1,
hokkaido_okhotsk__rishibe-kamiyama-kana__rubesibeyama____1984-10-04,hokkaido_okhotsk,rishibe-kamiyama-kana,rubesibeyama,43.7583333333,143.603333333,470.0,1984-10-04
hokkaido_okhotsk__sakai-kana__sakaino,hokkaido_okhotsk,sakai-kana,sakaino,43.7066666667,143.643333333,184.0,
hokkaido_okhotsk__saroma-kana__saroma,hokkaido_okhotsk,saroma-kana,saroma,44.0183333333,143.76,54.0,
hokkaido_okhotsk__shari-shari__shari,hokkaido_okhotsk,shari-shari,shari,43.885,144.7,15.0,
hokkaido_okhotsk__shirataki-kana__sirataki,hokkaido_okhotsk,shirataki-kana,sirataki,43.865,143.153333333,475.0,
hokkaido_okhotsk__takigami-kana__takino-it,hokkaido_okhotsk,takigami-kana,takino-it,44.1766666667,143.061666667,165.0,
hokkaido_okhotsk__tokoro-kana__tocolor,hokkaido_okhotsk,tokoro-kana,tocolor,44.115,144.036666667,3.0,
hokkaido_okhotsk__tsubetsu-futakami-katakana__tsubetsufutamata,hokkaido_okhotsk,tsubetsu-futakami-katakana,tsubetsufutamata,43.5833333333,143.865,221.0,
hokkaido_okhotsk__tsubetsu-kana__tsubetsu,hokkaido_okhotsk,tsubetsu-kana,tsubetsu,43.7016666667,144.033333333,100.0,
hokkaido_okhotsk__uto-lu-kana__utoran,hokkaido_okhotsk,uto-lu-kana,utoran,44.0516666667,144.981666667,144.0,
hokkaido_okhotsk__yamaen-kana__yamazono,hokkaido_okhotsk,yamaen-kana,yamazono,43.7433333333,144.336666667,361.0,
hokkaido_okhotsk__yubetsu-katakana__yubetsu,hokkaido_okhotsk,yubetsu-katakana,yubetsu,44.2133333333,143.618333333,5.0,
hokkaido_hidaka__asahi-kana__asahi,hokkaido_hidaka,asahi-kana,asahi,42.6283333333,142.393333333,245.0,
hokkaido_hidaka__erimo-misaki-kana__ermomisaki,hokkaido_hidaka,erimo-misaki-kana,ermomisaki,41.925,143.243333333,63.0,
hokkaido_hidaka__hidaka-kana__hidaka,hokkaido_hidaka,hidaka-kana,hidaka,42.8766666667,142.441666667,280.0,
hokkaido_hidaka__hidetaka-tadashi-kana__hidaka-monbets,hokkaido_hidaka,hidetaka-tadashi-kana,hidaka-monbets,42.4966666667,142.053333333,47.0,
hokkaido_hidaka__hiratake-kana__biratri____2004-10-11,hokkaido_hidaka,hiratake-kana,biratri,42.6066666667,142.146666667,44.0,2004-10-11
hokkaido_hidaka__horoman-kana__holomann,hokkaido_hidaka,horoman-kana,holomann,42.0766666667,143.035,0.0,
hokkaido_hidaka__meguro-katakana__megro,hokkaido_hidaka,meguro-katakana,megro,42.1266666667,143.313333333,17.0,
hokkaido_hidaka__mitsuishi-kana__mitsushishi,hokkaido_hidaka,mitsuishi-kana,mitsushishi,42.245,142.661666667,10.0,
hokkaido_hidaka__naka-usui-kana__nakakineus,hokkaido_hidaka,naka-usui-kana,nakakineus,42.2233333333,142.948333333,80.0,
hokkaido_hidaka__namotorakuyama-kana__nemoto-toruyama____1985-10-01,hokkaido_hidaka,namotorakuyama-kana,nemoto-toruyama,42.6,142.395,613.0,1985-10-01
hokkaido_hidaka__nishiwa-kana__nisei,hokkaido_hidaka,nishiwa-kana,nisei,42.7716666667,142.358333333,150.0,
hokkaido_hidaka__pisenai-mountain-kana__pisenayama____1998-01-29,hokkaido_hidaka,pisenai-mountain-kana,pisenayama,42.355,142.658333333,500.0,1998-01-29
hokkaido_hidaka__sasayama-kana__sasayama,hokkaido_hidaka,sasayama-kana,sasayama,42.4333333333,142.481666667,110.0,
hokkaido_hidaka__shinwa-kana__shinwa,hokkaido_hidaka,shinwa-kana,shinwa,42.5433333333,142.333333333,60.0,
hokkaido_hidaka__shizunuchi-kana__shizunai,hokkaido_hidaka,shizunuchi-kana,shizunai,42.3433333333,142.361666667,10.0,
hokkaido_hidaka__urakawa-kana__urakawa,hokkaido_hidaka,urakawa-kana,urakawa,42.1616666667,142.776666667,36.7,
hokkaido_hiyama__NONE__quail,hokkaido_hiyama,NONE,quail,41.93,140.311666667,53.0,
hokkaido_hiyama__esashi-kana__easashi,hokkaido_hiyama,esashi-kana,easashi,41.8666666667,140.123333333,3.7,
hokkaido_hiyama__imak-kana__imakane,hokkaido_hiyama,imak-kana,imakane,42.4283333333,140.008333333,19.0,
hokkaido_hiyama__ishizaki-kana__ishizaki,hokkaido_hiyama,ishizaki-kana,ishizaki,41.7,140.028333333,5.0,
hokkaido_hiyama__okushiri-kana__okushiri,hokkaido_hiyama,okushiri-kana,okushiri,42.2483333333,139.556666667,5.0,
hokkaido_hiyama__sotana-kana__setana,hokkaido_hiyama,sotana-kana,setana,42.45,139.851666667,10.0,
hokkaido_hiyama__tideaki-kana__siomi,hokkaido_hiyama,tideaki-kana,siomi,42.0383333333,140.088333333,50.0,
hokkaido_hiyama__yoneoka-kana__yoneeka,hokkaido_hiyama,yoneoka-kana,yoneeka,42.0,139.431666667,49.0,
hokkaido_iburi__abuta-kana__abuta____2002-12-09,hokkaido_iburi,abuta-kana,abuta,42.55,140.766666667,15.0,2002-12-09
hokkaido_iburi__anping-kana__avila,hokkaido_iburi,anping-kana,avila,42.8133333333,141.828333333,32.0,
hokkaido_iburi__date-kana__date,hokkaido_iburi,date-kana,date,42.475,140.848333333,3.0,
hokkaido_iburi__hana-wa-kana__hanawa,hokkaido_iburi,hana-wa-kana,hanawa,42.6166666667,140.756666667,282.0,
hokkaido_iburi__hobetsu-kana__hobetsu,hokkaido_iburi,hobetsu-kana,hobetsu,42.7616666667,142.143333333,56.0,
hokkaido_iburi__hokutosuke-kana__kitausus____2000-08-23,hokkaido_iburi,hokutosuke-kana,kitausus,42.5216666667,140.833333333,165.0,2000-08-23
hokkaido_iburi__irie-kana__irie____2004-04-01,hokkaido_iburi,irie-kana,irie,42.5433333333,140.785,38.0,2004-04-01
hokkaido_iburi__karlskana__karls,hokkaido_iburi,karlskana,karls,42.5166666667,141.106666667,300.0,
hokkaido_iburi__makoto-kamia__atsuma,hokkaido_iburi,makoto-kamia,atsuma,42.73,141.888333333,20.0,
hokkaido_iburi__morino-kana__molino,hokkaido_iburi,morino-kana,molino,42.63,141.246666667,170.0,
hokkaido_iburi__mukawa-river__mukawa,hokkaido_iburi,mukawa-river,mukawa,42.59,141.933333333,10.0,
hokkaido_iburi__muroran-kana__mulolan,hokkaido_iburi,muroran-kana,mulolan,42.3116666667,140.975,39.9,
hokkaido_iburi__noboribetsu-kana__novoliib,hokkaido_iburi,noboribetsu-kana,novoliib,42.4583333333,141.118333333,197.0,
hokkaido_iburi__noboribetsu-mountain-kana__novoli-betjama____1985-06-27,hokkaido_iburi,noboribetsu-mountain-kana,novoli-betjama,42.5,141.121666667,579.0,1985-06-27
hokkaido_iburi__okishi-kana__oxi,hokkaido_iburi,okishi-kana,oxi,42.59,140.643333333,4.0,
hokkaido_iburi__otaki-kana__otaky,hokkaido_iburi,otaki-kana,otaky,42.67,141.078333333,390.0,
hokkaido_iburi__shirao-kana__shiraoi,hokkaido_iburi,shirao-kana,shiraoi,42.5433333333,141.351666667,6.0,
hokkaido_iburi__sobetsu-kana__sowbetsu____2004-04-01,hokkaido_iburi,sobetsu-kana,sowbetsu,42.555,140.853333333,110.0,2004-04-01
hokkaido_iburi__tomakomai-kana__tomakomai,hokkaido_iburi,tomakomai-kana,tomakomai,42.6233333333,141.546666667,6.3,
hokkaido_iburi__toya-lakeside-kana__touyakohan____2000-12-06,hokkaido_iburi,toya-lakeside-kana,touyakohan,42.5683333333,140.801666667,105.0,2000-12-06
hokkaido_iburi__toyako-onsen-kana__tuya-coonsen,hokkaido_iburi,toyako-onsen-kana,tuya-coonsen,42.565,140.806666667,85.0,
hokkaido_iburi__toyoura-kana__toyoura____2000-08-23,hokkaido_iburi,toyoura-kana,toyoura,42.5833333333,140.708333333,5.0,2000-08-23
hokkaido_iburi__tsukiura-kana__tsukiura____2000-08-23,hokkaido_iburi,tsukiura-kana,tsukiura,42.5916666667,140.788333333,97.0,2000-08-23
hokkaido_iburi__usuzan-kana__ussan____1984-10-11,hokkaido_iburi,usuzan-kana,ussan,42.5316666667,140.853333333,281.0,1984-10-11
hokkaido_ishikari__aso-iwa-kana__asoiwa____2009-11-02,hokkaido_ishikari,aso-iwa-kana,asoiwa,43.3016666667,141.513333333,320.0,2009-11-02
hokkaido_ishikari__atsuta-kana__atsuta,hokkaido_ishikari,atsuta-kana,atsuta,43.3966666667,141.436666667,5.0,
hokkaido_ishikari__chitose-kana__chitose,hokkaido_ishikari,chitose-kana,chitose,42.775,141.691666667,22.0,
hokkaido_ishikari__ebetsu-kana__ebetsu,hokkaido_ishikari,ebetsu-kana,ebetsu,43.11,141.601666667,8.0,
hokkaido_ishikari__eniwa-shimamatsu-kana__magnolia-eels-germany,hokkaido_ishikari,eniwa-shimamatsu-kana,magnolia-eels-germany,42.9266666667,141.565,30.0,
hokkaido_ishikari__hamasaki-kana__hamamas,hokkaido_ishikari,hamasaki-kana,hamamas,43.5816666667,141.386666667,3.0,
hokkaido_ishikari__ishikari-kana__ishikari,hokkaido_ishikari,ishikari-kana,ishikari,43.1933333333,141.37,5.0,
hokkaido_ishikari__koganei-kana__koganeune,hokkaido_ishikari,koganei-kana,koganeune,42.9633333333,141.216666667,230.0,
hokkaido_ishikari__nishihoronhora-kana__nishinokoro____2000-10-31,hokkaido_ishikari,nishihoronhora-kana,nishinokoro,43.0433333333,141.54,22.0,2000-10-31
hokkaido_ishikari__sapporo-katakana__satporo,hokkaido_ishikari,sapporo-katakana,satporo,43.06,141.328333333,17.4,
hokkaido_ishikari__shikotsuko-lake-kana__shikotsukohan,hokkaido_ishikari,shikotsuko-lake-kana,shikotsukohan,42.7716666667,141.406666667,290.0,
hokkaido_ishikari__shimamatsuyama-kana__shimatsu-matsuyama____2004-05-01,hokkaido_ishikari,shimamatsuyama-kana,shimatsu-matsuyama,42.895,141.413333333,400.0,2004-05-01
hokkaido_ishikari__shinobazu-kana__shinshinosu,hokkaido_ishikari,shinobazu-kana,shinshinosu,43.22,141.645,9.0,
hokkaido_ishikari__tanayama-kana__teineyama,hokkaido_ishikari,tanayama-kana,teineyama,43.0833333333,141.201666667,568.0,
hokkaido_ishikari__yamaguchi-kana__yamaguchi,hokkaido_ishikari,yamaguchi-kana,yamaguchi,43.1483333333,141.221666667,5.0,
hokkaido_kamikawa__asahi-dake-kana__asahidake____2004-06-30,hokkaido_kamikawa,asahi-dake-kana,asahidake,43.6616666667,142.826666667,1620.0,2004-06-30
hokkaido_kamikawa__asahi-kana__asahi,hokkaido_kamikawa,asahi-kana,asahi,44.1183333333,142.595,225.0,
hokkaido_kamikawa__asahikawa-kana__asahikawa,hokkaido_kamikawa,asahikawa-kana,asahikawa,43.7566666667,142.371666667,119.8,
hokkaido_kamikawa__beautiful-kana__vifca,hokkaido_kamikawa,beautiful-kana,vifca,44.48,142.341666667,77.0,
hokkaido_kamikawa__biei-kana__viei,hokkaido_kamikawa,biei-kana,viei,43.5883333333,142.493333333,250.0,
hokkaido_kamikawa__dog-cattle-another-pass-kana__dogwood-bee____2005-11-10,hokkaido_kamikawa,dog-cattle-another-pass-kana,dogwood-bee,44.0,142.27,410.0,2005-11-10
hokkaido_kamikawa__egunshima-kana__ethanbets,hokkaido_kamikawa,egunshima-kana,ethanbets,43.87,142.26,140.0,
hokkaido_kamikawa__furano-kana__furano,hokkaido_kamikawa,furano-kana,furano,43.3333333333,142.4,174.0,
hokkaido_kamikawa__higashikawa-kana__higashikawa,hokkaido_kamikawa,higashikawa-kana,higashikawa,43.7016666667,142.508333333,215.0,
hokkaido_kamikawa__honchon-kana__pip,hokkaido_kamikawa,honchon-kana,pip,43.875,142.48,175.0,
hokkaido_kamikawa__horaisan-kana__horizan____2004-06-30,hokkaido_kamikawa,horaisan-kana,horizan,43.9133333333,142.583333333,320.0,2004-06-30
hokkaido_kamikawa__horokanai-kana__holocanai,hokkaido_kamikawa,horokanai-kana,holocanai,44.01,142.16,159.0,
hokkaido_kamikawa__kamifurano-kana__kamiflana,hokkaido_kamikawa,kamifurano-kana,kamiflana,43.455,142.465,220.0,
hokkaido_kamikawa__kamikawa-kana__kamikawa,hokkaido_kamikawa,kamikawa-kana,kamikawa,43.8466666667,142.753333333,324.0,
hokkaido_kamikawa__kanayama-kana__kanayama,hokkaido_kamikawa,kanayama-kana,kanayama,43.0,142.416666667,284.0,
hokkaido_kamikawa__kenbuchi-kana__kenbuchi,hokkaido_kamikawa,kenbuchi-kana,kenbuchi,44.0,142.353333333,138.0,
hokkaido_kamikawa__koba-katakana__ogulma,hokkaido_kamikawa,koba-katakana,ogulma,44.6083333333,142.295,62.0,
hokkaido_kamikawa__male-takako-kana__otaka-mine____2004-06-30,hokkaido_kamikawa,male-takako-kana,otaka-mine,43.9533333333,142.32,305.0,2004-06-30
hokkaido_kamikawa__mizuho-kana__mizuho,hokkaido_kamikawa,mizuho-kana,mizuho,43.7366666667,142.638333333,289.0,
